record_id,ref_ids,source_key,source_title,source_type,evidence_basket,domain,attack_vector,control_or_topic,geography,time_period,study_type,metric_name,metric_value,metric_unit,denominator,extracted_result,limitations,comparable_group,include_in_grouped_synthesis,evidence_confidence_1_to_5,primary_url,human_review_status
SPSEC50-001,1,FTC2025Fraud,New FTC Data Show a Big Jump in Reported Losses to Fraud to $12.5 Billion in 2024,government,government,consumer fraud,imposter/social engineering,fraud reporting,US,2024,reporting/telemetry,reported consumer fraud losses,12.5,USD billions,Consumer Sentinel voluntary reports,FTC reported more than $12.5B in consumer fraud losses in 2024.,Voluntary reporting; not a population census.,public_loss_benchmark,True,5,https://www.ftc.gov/news-events/news/press-releases/2025/03/new-ftc-data-show-big-jump-reported-losses-fraud-125-billion-2024,reviewed
SPSEC50-002,1,FTC2025Fraud,New FTC Data Show a Big Jump in Reported Losses to Fraud to $12.5 Billion in 2024,government,government,consumer fraud,investment scams,fraud reporting,US,2024,reporting/telemetry,investment scam losses,5.7,USD billions,Consumer Sentinel fraud reports,Investment scams were the highest-loss fraud category in the FTC 2024 data.,Category-specific voluntary reporting.,public_loss_benchmark,True,5,https://www.ftc.gov/news-events/news/press-releases/2025/03/new-ftc-data-show-big-jump-reported-losses-fraud-125-billion-2024,reviewed
SPSEC50-003,1,FTC2025Fraud,New FTC Data Show a Big Jump in Reported Losses to Fraud to $12.5 Billion in 2024,government,government,consumer fraud,imposter/social engineering,fraud reporting,US,2024,reporting/telemetry,imposter scam losses,2.95,USD billions,Consumer Sentinel fraud reports,FTC reported $2.95B in imposter scam losses in 2024.,Category differs from IC3 and SAR data.,imposter_loss_benchmark,True,5,https://www.ftc.gov/news-events/news/press-releases/2025/03/new-ftc-data-show-big-jump-reported-losses-fraud-125-billion-2024,reviewed
SPSEC50-004,1,FTC2025Fraud,New FTC Data Show a Big Jump in Reported Losses to Fraud to $12.5 Billion in 2024,government,government,identity theft,identity theft,identity theft reporting,US,2024,reporting/telemetry,identity theft reports,1.1,million reports,IdentityTheft.gov reports,IdentityTheft.gov received more than 1.1M identity-theft reports in 2024.,Voluntary reporting and duplicate risk.,identity_reporting_counts,True,5,https://www.ftc.gov/news-events/news/press-releases/2025/03/new-ftc-data-show-big-jump-reported-losses-fraud-125-billion-2024,reviewed
SPSEC50-005,1,FTC2025Fraud,New FTC Data Show a Big Jump in Reported Losses to Fraud to $12.5 Billion in 2024,government,government,consumer fraud,fraud/scam,fraud reporting,US,2024,reporting/telemetry,loss-reporting share,38,percent,people reporting fraud to FTC,"FTC reported 38% of fraud reports involved a monetary loss, up from 27% in 2023.",Reporter behavior may shift year to year.,loss_share_benchmark,True,5,https://www.ftc.gov/news-events/news/press-releases/2025/03/new-ftc-data-show-big-jump-reported-losses-fraud-125-billion-2024,reviewed
SPSEC50-006,2,FBIIC32024,2024 Internet Crime Report,government,government,cyber-enabled fraud,cyber-enabled fraud,cyber reporting,US,2024,reporting/telemetry,cyber-enabled fraud complaints,333981,complaints,IC3 complaints,"IC3 counted 333,981 cyber-enabled fraud complaints in 2024.",IC3 is voluntary and complaint-based.,complaint_counts,True,5,https://www.ic3.gov/AnnualReport/Reports/2024_IC3Report.pdf,reviewed
SPSEC50-007,2,FBIIC32024,2024 Internet Crime Report,government,government,cyber-enabled fraud,cyber-enabled fraud,cyber reporting,US,2024,reporting/telemetry,cyber-enabled fraud losses,13.7,USD billions,IC3 reported losses,IC3 attributed $13.7B in losses to cyber-enabled fraud in 2024.,Complaint-based losses; not a census.,public_loss_benchmark,True,5,https://www.ic3.gov/AnnualReport/Reports/2024_IC3Report.pdf,reviewed
SPSEC50-008,2,FBIIC32024,2024 Internet Crime Report,government,government,cyber-enabled fraud,cyber-enabled fraud,cyber reporting,US,2024,reporting/telemetry,share of IC3 complaints,38,percent,2024 IC3 complaints,Cyber-enabled fraud represented 38% of 2024 IC3 complaints.,IC3 categories differ from FTC and SAR categories.,loss_share_benchmark,True,5,https://www.ic3.gov/AnnualReport/Reports/2024_IC3Report.pdf,reviewed
SPSEC50-009,2,FBIIC32024,2024 Internet Crime Report,government,government,cyber-enabled fraud,cyber-enabled fraud,cyber reporting,US,2024,reporting/telemetry,share of IC3 losses,83,percent,2024 IC3 losses,Cyber-enabled fraud represented almost 83% of 2024 IC3 losses.,IC3 losses are complaint based.,loss_share_benchmark,True,5,https://www.ic3.gov/AnnualReport/Reports/2024_IC3Report.pdf,reviewed
SPSEC50-010,3,FinCEN2024Identity,FinCEN Issues Analysis of Identity-Related Suspicious Activity,government,regulatory,identity-related suspicious activity,identity exploitation,BSA reporting,US,2021,reporting/telemetry,identity-related BSA reports,1.6,million reports,BSA reports filed in CY2021,FinCEN identified approximately 1.6M identity-related BSA reports.,SAR/BSA reporting is not comparable to consumer complaints.,financial_suspicious_activity,True,5,https://www.fincen.gov/news/news-releases/fincen-issues-analysis-identity-related-suspicious-activity,reviewed
