comparable_group_label,comparable_group,metric_unit,n_metrics,min,median,mean,max,sources,aggregation_rule,interpretation,caution
Academic Dataset Size,academic_dataset_size,samples,2,18600.0,809300.0,809300.0,1600000.0,Mittal2024PITCH,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Academic Review Scope,academic_review_scope,databases,1,4.0,4.0,4.0,4.0,Zhang2025AIIDReview,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Academic Review Scope,academic_review_scope,papers,1,43.0,43.0,43.0,43.0,Zhang2025AIIDReview,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
AI Attack Growth Rates,ai_attack_growth_rates,percent growth,6,153.0,304.0,551.5,1600.0,Entrust2025Fraud; TransUnionH22024; iProov2024Threat,"mean, median, range inside comparable group only",AI-enabled identity attack telemetry shows triple-digit acceleration across 6 indicators; median growth is 304 percent growth.,Vendor/network telemetry is not a universal population census.
Attack Economics,attack_economics,seconds,1,9.0,9.0,9.0,9.0,Li2025Vishing,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Attack Frequency,attack_frequency,minutes per attack,1,5.0,5.0,5.0,5.0,Entrust2025Fraud,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Attack Success Metrics,attack_success_metrics,percent increase,1,70.0,70.0,70.0,70.0,Li2022LiveBugger,"mean, median, range inside comparable group only",Academic attack studies show deepfake and LLM-assisted adversaries can materially weaken single-session controls.,Do not aggregate outside this metric family; source populations differ.
Attack Success Metrics,attack_success_metrics,percent reduction,1,30.96,30.96,30.96,30.96,Li2025Vishing,"mean, median, range inside comparable group only",Academic attack studies show deepfake and LLM-assisted adversaries can materially weaken single-session controls.,Do not aggregate outside this metric family; source populations differ.
Attack Volume Benchmark,attack_volume_benchmark,attacks per month lower bound,1,50000.0,50000.0,50000.0,50000.0,iProov2024Threat,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Complaint Counts,complaint_counts,complaints,1,333981.0,333981.0,333981.0,333981.0,FBIIC32024,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Consumer Concern,consumer_concern,percent,1,84.0,84.0,84.0,84.0,Experian2024Global,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Fraud Cost Multiplier,cost_multiplier,cost per fraud dollar,1,4.41,4.41,4.41,4.41,LexisNexis2024TCF,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Defense Capability,defense_capability,percent,2,56.0,71.0,71.0,86.0,Experian2024Global,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Deepfake/Voice Detection Performance,detection_performance,percent AUROC,1,88.7,88.7,88.7,88.7,Mittal2024PITCH,"mean, median, range inside comparable group only",Academic voice-deepfake controls improve detection in controlled settings but are not substitutes for authentication.,Do not aggregate outside this metric family; source populations differ.
Deepfake/Voice Detection Performance,detection_performance,percent accuracy,2,72.6,78.55,78.55,84.5,Mittal2024PITCH,"mean, median, range inside comparable group only",Academic voice-deepfake controls improve detection in controlled settings but are not substitutes for authentication.,Do not aggregate outside this metric family; source populations differ.
Digital Account-Opening Fraud,digital_account_opening_fraud,percent,1,13.5,13.5,13.5,13.5,TransUnionH12024,"mean, median, range inside comparable group only",Account opening is a disproportionate fraud entry point in digital channels.,Do not aggregate outside this metric family; source populations differ.
Digital Fraud Rates,digital_fraud_rates,percent,4,4.6,5.1,16.2,50.0,LexisNexis2024TCF; TransUnionH12024; TransUnionH22024,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Vendor/network telemetry is not a universal population census.
Digital Fraud Rates,digital_fraud_rates,percent growth,1,14.0,14.0,14.0,14.0,TransUnionH12024,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Vendor/network telemetry is not a universal population census.
Document Forgery Metrics,document_forgery_metrics,percent,2,40.8,48.9,48.9,57.0,Entrust2025Fraud,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Financial Suspicious Activity,financial_suspicious_activity,million reports,1,1.6,1.6,1.6,1.6,FinCEN2024Identity,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,"Benchmarks are directional only; FTC, IC3, FinCEN, and Federal Reserve measures are different populations."
Financial Suspicious Activity,financial_suspicious_activity,percent,1,42.0,42.0,42.0,42.0,FinCEN2024Identity,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,"Benchmarks are directional only; FTC, IC3, FinCEN, and Federal Reserve measures are different populations."
Identity Reporting Counts,identity_reporting_counts,million reports,1,1.1,1.1,1.1,1.1,FTC2025Fraud,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Imposter Loss Benchmark,imposter_loss_benchmark,USD billions,1,2.95,2.95,2.95,2.95,FTC2025Fraud,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Imposter Loss Benchmark,imposter_loss_benchmark,percent,1,35.0,35.0,35.0,35.0,LexisNexis2024TCF,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Loss Share Benchmark,loss_share_benchmark,percent,3,38.0,38.0,53.0,83.0,FBIIC32024; FTC2025Fraud,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Public Loss Benchmarks,public_loss_benchmark,USD billions,3,5.7,12.5,10.633,13.7,FBIIC32024; FTC2025Fraud,"mean, median, range inside comparable group only","Public loss benchmarks show identity-adjacent fraud has become a board-level risk, but values are not additive.","Benchmarks are directional only; FTC, IC3, FinCEN, and Federal Reserve measures are different populations."
Surveyed Fraud Increase,survey_fraud_increase,percent,2,63.0,63.5,63.5,64.0,Experian2024Global; LexisNexis2024TCF,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Synthetic Exposure Benchmarks,synthetic_exposure_benchmark,USD billions,2,3.1,3.15,3.15,3.2,TransUnionH12024; TransUnionH22024,"mean, median, range inside comparable group only",Synthetic identity risk is visible both as dollar exposure and as a small but costly share of new accounts.,Vendor/network telemetry is not a universal population census.
Synthetic Exposure Benchmarks,synthetic_exposure_benchmark,percent,2,0.2,0.265,0.265,0.33,TransUnionH22024,"mean, median, range inside comparable group only",Synthetic identity risk is visible both as dollar exposure and as a small but costly share of new accounts.,Vendor/network telemetry is not a universal population census.
Synthetic Exposure Benchmarks,synthetic_exposure_benchmark,percent growth,1,7.0,7.0,7.0,7.0,TransUnionH22024,"mean, median, range inside comparable group only",Synthetic identity risk is visible both as dollar exposure and as a small but costly share of new accounts.,Vendor/network telemetry is not a universal population census.
Synthetic Loss Benchmarks,synthetic_loss_benchmark,USD billions,1,20.0,20.0,20.0,20.0,FedToolkitSynthetic,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Synthetic Loss Benchmarks,synthetic_loss_benchmark,USD per identity,1,13000.0,13000.0,13000.0,13000.0,Equifax2026Synthetic,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Threat-Actor Collaboration,threat_actor_collaboration,percent,1,47.0,47.0,47.0,47.0,iProov2024Threat,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
Typology Share,typology_share,percent,2,74.0,81.0,81.0,88.0,FinCEN2024Identity,"mean, median, range inside comparable group only",Grouped descriptive summary; interpret with source limitations.,Do not aggregate outside this metric family; source populations differ.
